person_id,trip_key
bb_e1cd289a,1
berlin_1db0601b,1
bb_f210ced7,1
bb_6b313972,3
bb_4f23fdb9,1
bb_1f92dbdc,1
bb_778c4b7b,1
bb_df6455d4,1
berlin_100c3e97,1
berlin_e95a72f4,2
berlin_76f80982,1
bb_ea74ade7,3
berlin_89c7faa6,1
berlin_b65b8359,3
berlin_047846c5,1
berlin_adfe51e9,1
bb_9ab61adf,2
bb_52e4c1aa,3
berlin_7aebdc3b,1
bb_482aaae3,2
berlin_df985d62,1
berlin_22561f82,1
bb_a3bb5163,1
bb_5dab7aab,2
bb_363cf02f,1
bb_d40ab6a2,1
berlin_2179f205,1
berlin_11a96c6a,1
berlin_0ac3d413,2
berlin_96bd3399,2
berlin_15856749,1
berlin_0e2cef05,1
berlin_09e77c74,1
bb_bb0e8d27,1
bb_60efbea9,1
bb_1343fbfd,1
bb_aa191ecd,1
bb_18e541f4,2
berlin_9044fbb4,2
berlin_f676beec,2
bb_2c38bf22,1
bb_bcd568e5,1
berlin_b7fe5342,1
bb_95163309,2
bb_17a6afec,3
berlin_9da9d5fd,2
bb_f9957069,1
bb_00352d0e,2
berlin_0979cfa5,2
berlin_29502c1c,1
berlin_3cac814e,2
berlin_1191df63,1
berlin_2cf9d6d0,3
berlin_362a92a6,1
berlin_d0198feb,1
berlin_1f35dd72,1
berlin_1069d031,3
berlin_81809c99,2
berlin_68330638,1
berlin_9a1689f1,2
berlin_6f30bda6,1
bb_aea69a31,3
berlin_13e153e2,1
bb_8e62fffa,2
berlin_4586e41d,1
berlin_f590bdb8,1
bb_8cf87162,1
bb_027f69fb,1
berlin_f3edf094,2
bb_f942667b,1
bb_e5a1357d,1
bb_62973edc,2
bb_cf1329e1,3
berlin_75c9f41a,2
berlin_0d0138e2,1
berlin_0cd6a3c5,1
bb_a4a63a12,4
bb_719a936e,1
bb_6bdb68ef,1
berlin_d080e933,1
berlin_0dc05f45,2
bb_38c675cb,2
bb_24604e5f,2
berlin_244758ef,1
bb_1b73b85c,1
bb_83603cc9,1
berlin_8766bcf7,4
bb_a3bca23f,2
berlin_2f2b0a43,4
bb_380d61a8,1
bb_13160307,1
bb_b4eecc58,1
berlin_282a7e5e,1
berlin_ad7fc3ab,1
bb_f210ced7,2
bb_cc5bb2c1,3
bb_8f7e3c70,3
bb_4c975d21,1
berlin_c8f1ed46,1
berlin_4a8b7280,2
bb_0246c9f3,2
berlin_269ad763,1
berlin_0e9fd3e6,1
berlin_30fdeeeb,3
berlin_adee5540,3
berlin_0822c81e,4
bb_8a945f7a,3
berlin_97d07ab5,1
bb_8978a0b9,1
berlin_b6a86b55,1
berlin_67db9fbc,1
bb_ea74ade7,5
bb_34c3ebd4,1
bb_ade4bd4c,3
berlin_2e3b16bf,1
berlin_96bd3399,3
bb_4d4f7e61,1
bb_4c975d21,2
berlin_41674656,3
bb_b0338902,3
berlin_2e29eb2b,1
bb_f942667b,2
berlin_beae1ba4,1
berlin_819f60c4,3
berlin_d921108f,3
berlin_11a96c6a,2
bb_6ac89ae4,1
berlin_ef6835ff,3
berlin_50935f01,2
bb_59b96306,3
bb_1c14379e,1
bb_1343fbfd,2
berlin_5c05bc2d,1
bb_da09b86b,2
bb_2158685f,2
berlin_d080e933,2
berlin_ad54f9cb,1
berlin_56df69ab,3
berlin_106918b0,1
bb_380d61a8,2
berlin_c33e0a5b,2
berlin_fb3d0cf1,1
berlin_97787700,1
bb_719a936e,2
berlin_d31e46b6,1
berlin_b7ed9733,2
bb_3fe71e55,3
berlin_e35405fd,3
bb_8f7e3c70,4
bb_6bdb68ef,2
bb_f513aa65,1
berlin_af47aec5,1
berlin_125955ba,2
berlin_162287da,1
bb_5461ec43,1
berlin_df985d62,2
bb_a13ecb39,1
berlin_311d143a,1
berlin_37608b2b,1
berlin_4db120dd,1
bb_4f23fdb9,2
berlin_ad5c45f5,2
berlin_fc1fafb2,2
berlin_57c43a83,3
berlin_2fb50e51,2
berlin_29502c1c,2
berlin_0a3e5efd,2
berlin_c6997f06,2
berlin_04d173e7,1
bb_c7d27ca7,2
bb_e4961217,2
bb_0ee2cc73,2
bb_e2373f6d,3
berlin_6b0447f2,1
berlin_282a7e5e,2
berlin_270f4e2b,2
berlin_12b943f2,1
berlin_01c94116,1
bb_7dc9658d,2
berlin_3a2b1f39,2
bb_0daadf33,2
bb_93993d6e,3
bb_4ff97ab2,1
berlin_b3cb9d38,2
bb_c8d7037f,2
berlin_411a2a99,3
berlin_b87ebefb,2
berlin_0822c81e,5
berlin_100c3e97,2
berlin_269ad763,2
bb_b4eecc58,2
berlin_6e5b894f,2
berlin_e60b89f0,1
berlin_653f176a,1
berlin_dfeed5da,1
berlin_96e5d50a,2
berlin_6ba9e0e8,3
berlin_bf8ce425,3
berlin_67e382dc,2
berlin_4586e41d,2
berlin_0ae26d03,3
bb_dcdad96c,2
berlin_6e5b56d3,2
berlin_ea6a27de,1
berlin_fb4c351e,1
berlin_0e9fd3e6,2
berlin_a7b2dc4b,1
berlin_5381f950,3
bb_bb05a8c2,3
bb_3fe71e55,4
berlin_9b74f214,3
berlin_1532311f,2
berlin_060cf75d,2
berlin_4ffc313a,1
bb_f513aa65,2
berlin_0aba94c2,3
bb_0d4f0f42,1
berlin_7df266fc,1
