scenario,case,dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
A12_FH,A,age,25-44,33,0.12121212121212123,0.12121212121212123,-12.351010101010099,11.067676767676764,33.70333333333332,-7.520202020202019
A12_FH,A,age,45-64,26,0.0,0.3076923076923077,-11.593589743589744,11.706410256410255,57.02916666666666,-8.922435897435896
A12_FH,A,age,65+,15,0.3333333333333333,0.13333333333333333,-3.4444444444444446,15.494444444444444,39.15833333333333,-4.8133333333333335
A12_FH,A,age,<25,14,0.14285714285714285,0.07142857142857142,-0.22023809523809554,14.652380952380954,39.10666666666667,-0.7999999999999992
A12_FH,A,gender,f,41,0.024390243902439025,0.24390243902439024,-3.721951219512196,15.098373983739837,58.18333333333333,-6.4398373983739825
A12_FH,A,gender,m,47,0.2127659574468085,0.10638297872340426,-13.003546099290784,10.3854609929078,33.29166666666666,-6.3726950354609935
A12_FH,A,car_availability,always,82,0.13414634146341464,0.18292682926829268,-10.227235772357725,12.48048780487805,47.30166666666668,-6.778048780487803
A12_FH,A,car_availability,never,6,0.0,0.0,12.47777777777778,13.958333333333336,23.79166666666667,-1.2916666666666667
A12_FH,A,employment,false,25,0.2,0.08,-6.996666666666665,12.646666666666665,35.29,-7.215333333333333
A12_FH,A,employment,true,63,0.09523809523809523,0.20634920634920634,-9.346825396825393,12.555291005291007,52.56333333333333,-6.082010582010577
A8_FM,A,income,high,13,0.6153846153846154,0.0,-0.7756410256410257,12.537179487179484,27.27333333333332,-0.02564102564102524
A8_FM,A,income,low,45,0.4888888888888889,0.15555555555555556,-20.171111111111113,12.276666666666669,40.50333333333332,-10.721111111111108
A8_FM,A,income,middle,30,0.6666666666666666,0.13333333333333333,-13.317777777777774,13.21611111111111,34.72666666666666,-2.533333333333333
A8_FM,A,age,25-44,33,0.3939393939393939,0.24242424242424246,-19.64343434343434,9.884848484848488,33.02,-8.703030303030301
A8_FM,A,age,45-64,26,0.6153846153846154,0.0,-11.706410256410258,16.04615384615385,47.2875,-4.582692307692309
A8_FM,A,age,65+,15,0.8666666666666667,0.13333333333333333,-17.371111111111112,11.188888888888894,30.395,-9.118888888888888
A8_FM,A,age,<25,14,0.5714285714285714,0.07142857142857142,-7.439285714285715,14.33452380952381,39.160833333333336,-1.117857142857143
A8_FM,A,gender,f,41,0.4634146341463415,0.17073170731707318,-15.326829268292673,13.184552845528454,41.1,-8.353658536585368
A8_FM,A,gender,m,47,0.6595744680851063,0.0851063829787234,-14.657801418439718,12.156382978723402,33.288333333333306,-4.60177304964539
A8_FM,A,car_availability,always,82,0.5487804878048781,0.13414634146341464,-15.94044715447155,12.395731707317074,35.93750000000001,-6.862804878048781
A8_FM,A,car_availability,never,6,0.8333333333333334,0.0,-1.7,15.911111111111113,33.77916666666667,0.6611111111111109
A8_FM,A,employment,false,25,0.8,0.08,-15.912,11.972,30.55333333333333,-7.889999999999999
A8_FM,A,employment,true,63,0.4761904761904762,0.14285714285714285,-14.595502645502641,12.898677248677249,40.591666666666654,-5.738624338624339
A8_SUB1,A,income,high,13,0.3076923076923077,0.07692307692307693,1.102564102564103,12.075641025641026,38.906666666666666,-0.4871794871794871
A8_SUB1,A,income,low,45,0.3555555555555556,0.08888888888888889,-13.212962962962965,13.092592592592592,46.08666666666665,-9.905185185185182
A8_SUB1,A,income,middle,30,0.4666666666666667,0.16666666666666666,-10.636111111111113,11.876111111111104,38.274999999999984,-3.8733333333333335
A8_SUB1,A,age,25-44,33,0.3939393939393939,0.18181818181818185,-16.44848484848485,9.40050505050505,29.64333333333333,-9.187373737373736
A8_SUB1,A,age,45-64,26,0.38461538461538464,0.038461538461538464,-5.536538461538462,16.062820512820515,47.15833333333333,-4.566025641025641
A8_SUB1,A,age,65+,15,0.3333333333333333,0.13333333333333333,-6.171111111111111,12.821111111111113,42.191666666666656,-7.486666666666667
A8_SUB1,A,age,<25,14,0.42857142857142855,0.07142857142857142,-8.572619047619048,13.019047619047615,38.99333333333333,-2.433333333333334
A8_SUB1,A,gender,f,41,0.3414634146341464,0.12195121951219512,-5.852032520325204,15.742682926829266,47.5,-5.795528455284552
A8_SUB1,A,gender,m,47,0.425531914893617,0.10638297872340426,-14.029787234042553,9.723049645390072,33.78166666666665,-7.035106382978723
A8_SUB1,A,car_availability,always,82,0.3780487804878049,0.12195121951219512,-10.80040650406504,12.562804878048782,40.87666666666667,-6.695731707317071
A8_SUB1,A,car_availability,never,6,0.5,0.0,-2.283333333333333,12.047222222222222,34.025,-3.2027777777777784
A8_SUB1,A,employment,false,25,0.4,0.12,-9.544666666666666,11.51333333333333,39.52666666666666,-8.348666666666666
A8_SUB1,A,employment,true,63,0.3809523809523809,0.1111111111111111,-10.487566137566132,12.930158730158732,40.85333333333333,-5.707142857142853
B6_PTI,B,income,high,5,0.4,0.2,-2.4233333333333342,24.85,46.41333333333333,8.536666666666667
B6_PTI,B,income,low,35,0.4857142857142857,0.028571428571428567,-4.455238095238093,23.169047619047607,55.90666666666666,-1.8733333333333335
B6_PTI,B,income,middle,30,0.4666666666666667,0.2333333333333333,-9.593333333333335,16.55666666666667,47.75916666666666,-1.607222222222222
B6_PTI,B,age,25-44,27,0.4444444444444444,0.2222222222222222,-2.7098765432098784,19.98888888888889,48.34166666666667,0.15370370370370387
B6_PTI,B,age,45-64,15,0.5333333333333333,0.13333333333333333,-5.0455555555555565,25.352222222222228,60.31333333333333,1.8066666666666664
B6_PTI,B,age,65+,18,0.5555555555555556,0.05555555555555555,-2.3759259259259253,20.785185185185185,48.7525,0.18055555555555605
B6_PTI,B,age,<25,10,0.3,0.0,-26.423333333333336,13.775,41.1458333333333,-10.56
B6_PTI,B,gender,f,27,0.4074074074074074,0.1111111111111111,-9.188271604938274,24.47716049382716,57.49333333333333,-0.7111111111111112
B6_PTI,B,gender,m,43,0.5116279069767442,0.13953488372093026,-4.831782945736434,17.929844961240303,47.61833333333334,-1.2069767441860457
B6_PTI,B,car_availability,always,66,0.5,0.13636363636363635,-3.0664141414141417,21.694949494949487,53.20833333333333,1.1547979797979795
B6_PTI,B,car_availability,never,4,0.0,0.0,-63.36666666666667,0.0,0.0,-36.829166666666666
B6_PTI,B,employment,false,35,0.42857142857142855,0.11428571428571427,-11.032857142857145,18.204285714285714,49.56999999999998,-3.708571428571428
B6_PTI,B,employment,true,35,0.5142857142857142,0.14285714285714285,-1.991428571428572,22.706190476190475,53.32833333333331,1.6771428571428568
C22_PTI,C,income,high,436,0.2889908256880734,0.2981651376146789,2.2992737003058106,5.770527522935784,21.99583333333333,-0.1297782874617737
C22_PTI,C,income,low,796,0.21105527638190955,0.14949748743718594,4.0836474036850925,6.684024288107199,25.08333333333333,-1.43391959798995
C22_PTI,C,income,middle,600,0.23166666666666666,0.2816666666666667,0.470638888888889,6.523472222222224,25.57749999999993,-0.8919166666666678
C22_PTI,C,age,25-44,599,0.24373956594323876,0.2487479131886477,2.2400667779632752,7.348024485253197,26.90000000000001,-1.0788814691151938
C22_PTI,C,age,45-64,630,0.24761904761904766,0.27936507936507937,1.8863492063492069,6.070661375661372,22.699999999999985,-1.324259259259261
C22_PTI,C,age,65+,270,0.2074074074074074,0.1925925925925926,2.5039506172839494,4.92493827160494,20.91499999999999,-0.6424691358024696
C22_PTI,C,age,<25,333,0.22522522522522526,0.12312312312312312,3.991541541541539,6.59099099099099,26.31,-0.23763763763763746
C22_PTI,C,gender,f,981,0.23955147808358815,0.2517838939857289,2.0615868161739708,5.857441386340471,22.16666666666667,-1.0191811077132191
C22_PTI,C,gender,m,851,0.2326674500587544,0.2009400705052879,2.9530356443399963,7.0556600078339144,26.700000000000006,-0.8617117117117119
C22_PTI,C,car_availability,always,1671,0.23518850987432674,0.25014961101137045,2.29966088170756,6.392908438061039,24.141666666666666,-1.0833532814681823
C22_PTI,C,car_availability,never,161,0.2484472049689441,0.0,4.302587991718427,6.633333333333335,23.36666666666667,0.479192546583851
C22_PTI,C,employment,false,488,0.22131147540983606,0.12704918032786885,3.2295765027322387,5.768989071038258,23.30833333333333,-0.19118852459016406
C22_PTI,C,employment,true,1344,0.2418154761904762,0.2648809523809524,2.2019469246031766,6.648251488095237,24.20583333333332,-1.2201140873015868
