scenario,case,dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
A8_FM,A,age,25-44,26,-6.633856452882032,-6.295039260209308,-16.915967834248537,1.8936533071345851,0.2307692307692308,0.7692307692307693,0.4615384615384616
A8_FM,A,age,45-64,19,-6.195194366096673,-2.2805968386614808,-20.5480159800158,3.9969756507713483,0.3157894736842105,0.6842105263157895,0.631578947368421
A8_FM,A,age,65+,10,-4.437576142014168,-3.0646484343841816,-17.416480641817042,5.2987312895100755,0.3,0.7,0.9
A8_FM,A,age,<25,12,-1.9179905840442464,-1.128764279211751,-8.09283950864557,1.9994076615242442,0.3333333333333333,0.6666666666666666,0.5833333333333334
A8_FM,A,gender,f,31,-5.085006844573932,-2.593557012395266,-16.476199119570722,3.888785933850869,0.2903225806451613,0.7096774193548387,0.5161290322580645
A8_FM,A,gender,m,36,-5.554038804934733,-2.4987086332400565,-19.129169893379316,3.2701328739976963,0.2777777777777778,0.7222222222222222,0.6666666666666666
A8_FM,A,car_availability,always,61,-5.925012369098869,-3.4145014303191488,-17.35573654892636,3.888785933850869,0.26229508196721313,0.7377049180327869,0.5737704918032787
A8_FM,A,car_availability,never,6,0.6408575592648234,-0.1152228132509876,-1.273522261076813,3.311317752122272,0.5,0.5,0.8333333333333334
A8_FM,A,employment,false,19,-4.924331371947488,-1.969995684491792,-17.803827596929843,4.604020722309696,0.3157894736842105,0.6842105263157895,0.7894736842105263
A8_FM,A,employment,true,48,-5.500381522759166,-2.7778514321863668,-16.740060348377412,2.9449768963672205,0.2708333333333333,0.7291666666666666,0.5208333333333334
A8_SUB1,A,income,high,12,-0.4411183857316523,-0.5750017592242713,-2.7974935518300272,1.6971901809944714,0.4166666666666667,0.5833333333333334,0.3333333333333333
A8_SUB1,A,income,low,31,-5.2985994083239305,-4.7268157118646466,-17.545996457691118,3.6138101026894702,0.1935483870967742,0.8064516129032258,0.3870967741935484
A8_SUB1,A,income,middle,24,-3.643800232442804,-1.7960801210675117,-11.755733027764132,2.4806777094530768,0.3333333333333333,0.6666666666666666,0.4583333333333333
A8_SUB1,A,age,25-44,26,-5.826879581109005,-5.168771889349267,-13.222971127664092,0.3083019225178489,0.19230769230769232,0.8076923076923077,0.4230769230769231
A8_SUB1,A,age,45-64,19,-3.754368797687949,-3.322358262594776,-11.560932769527733,3.66880526892175,0.42105263157894735,0.5789473684210527,0.42105263157894735
A8_SUB1,A,age,65+,10,0.6297492574220342,0.01685188970821372,-5.103614522984583,6.517635730969468,0.5,0.5,0.3
A8_SUB1,A,age,<25,12,-3.3722353478970133,-2.1071347458168863,-9.448996076997748,-0.15202467794217825,0.08333333333333333,0.9166666666666666,0.4166666666666667
A8_SUB1,A,gender,f,31,-3.362944946297233,-2.8213953403810166,-9.893381760004658,2.927327503835073,0.3225806451612903,0.6774193548387096,0.3870967741935484
A8_SUB1,A,gender,m,36,-4.24305318139541,-2.8804403208983587,-13.222971127664092,1.4694488511235164,0.25,0.75,0.4166666666666667
A8_SUB1,A,car_availability,always,61,-3.9962482189951993,-3.178503186925596,-11.83355956641566,2.927327503835073,0.3114754098360656,0.6885245901639344,0.3934426229508197
